day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,capacity_limit_mode,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week,started_lots_this_week,requested_lot_starts,actual_lot_starts,campaign_requested_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
22,M-1810,item:268091,11488.239303,14400.0,14400.0,203550.0,finite,123600.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
23,M-1430,item:268967,4163.821462,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4163.821462,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
24,M-1430,item:268967,4307.180619,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4307.180619,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
25,M-1430,item:268967,4451.705512,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4451.705512,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
26,M-1430,item:268967,4596.463551,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4596.463551,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
27,M-1430,item:268967,4741.26822,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4741.26822,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
28,M-1430,item:268967,4886.082215,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4886.082215,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
29,M-1430,item:268967,4790.767463,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4790.767463,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
30,M-1430,item:268967,4647.426962,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4647.426962,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
31,M-1430,item:268967,4494.481311,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4494.481311,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
32,M-1430,item:268967,4339.614629,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4339.614629,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
33,M-1430,item:268967,4184.363742,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4184.363742,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
34,M-1430,item:268967,4029.036014,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4029.036014,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
35,M-1430,item:268967,3873.692917,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,3873.692917,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
36,M-1430,item:268967,4187.456951,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4187.456951,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
37,M-1430,item:268967,4595.042411,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4595.042411,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
38,M-1430,item:268967,5021.392156,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5021.392156,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
39,M-1430,item:268967,5451.494758,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5451.494758,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
40,M-1430,item:268967,5882.347931,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5882.347931,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
41,M-1430,item:268967,6313.351219,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,6313.351219,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
42,M-1430,item:268967,6744.384529,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,6744.384529,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
43,M-1430,item:268967,6559.472824,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,6559.472824,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
44,M-1430,item:268967,6251.372116,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,6251.372116,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
45,M-1430,item:268967,5918.633607,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5918.633607,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
46,M-1430,item:268967,5580.967538,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5580.967538,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
47,M-1430,item:268967,5242.315957,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5242.315957,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
48,M-1430,item:268967,4903.467273,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4903.467273,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
49,M-1430,item:268967,4564.579169,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4564.579169,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
50,M-1430,item:268967,4734.385222,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,4734.385222,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
51,M-1430,item:268967,5005.930106,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5005.930106,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
52,M-1430,item:268967,5297.822756,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5297.822756,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
53,M-1430,item:268967,5593.78496,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5593.78496,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
54,M-1430,item:268967,5890.561074,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,5890.561074,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
55,M-1430,item:268967,6187.49997,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,6187.49997,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
56,M-1430,item:268967,6484.471423,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,6484.471423,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
57,M-1430,item:268967,6254.412652,107800.0,0.0,154000.0,finite,34450.0,input_shortage,item:333362,6254.412652,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,107800.0
58,M-1430,item:268967,5918.947837,107800.0,107800.0,154000.0,finite,143950.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,0.0
59,M-1430,item:268967,5562.401812,107800.0,0.0,154000.0,finite,40650.0,input_shortage,item:333362,5562.401812,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,107800.0
60,M-1430,item:268967,5201.639546,107800.0,0.0,154000.0,finite,58650.0,input_shortage,item:333362,5201.639546,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0
61,M-1430,item:268967,4840.034032,107800.0,0.0,154000.0,finite,81150.0,input_shortage,item:333362,4840.034032,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0
62,M-1430,item:268967,4478.259868,107800.0,0.0,154000.0,finite,103650.0,input_shortage,item:333362,4478.259868,107800.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,107800.0,107800.0
63,M-1430,item:268967,4116.451974,107800.0,107800.0,154000.0,finite,289650.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,107800.0,0.0
64,M-1430,item:268967,4290.359782,107800.0,107800.0,154000.0,finite,240350.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
65,M-1430,item:268967,4571.410732,107800.0,107800.0,154000.0,finite,191050.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,2,1,1,107800.0,107800.0,107800.0,0.0
93,M-1430,item:268967,4017.779592,107800.0,107800.0,154000.0,finite,3195792.5,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
159,M-1430,item:268967,1566.938775,107800.0,107800.0,154000.0,finite,6028325.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
166,M-1430,item:268967,14161.714286,107800.0,107800.0,154000.0,finite,5920525.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
169,M-1430,item:268967,16358.073469,107800.0,107800.0,154000.0,finite,5812725.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
170,M-1430,item:268967,17038.847347,107800.0,107800.0,154000.0,finite,5704925.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,2,1,1,107800.0,107800.0,107800.0,0.0
171,M-1430,item:268967,14584.161306,107800.0,107800.0,154000.0,finite,5597125.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,3,1,1,107800.0,107800.0,107800.0,0.0
232,M-1810,item:268091,4930.710204,14400.0,14400.0,203550.0,finite,2741698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
235,M-1810,item:268091,6976.097959,14400.0,14400.0,203550.0,finite,2727298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
236,M-1810,item:268091,9053.113469,14400.0,14400.0,203550.0,finite,2712898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
237,M-1810,item:268091,10150.31249,14400.0,14400.0,203550.0,finite,2698498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
238,M-1810,item:268091,11051.548212,14400.0,14400.0,203550.0,finite,2684098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
239,M-1810,item:268091,11031.468826,14400.0,14400.0,203550.0,finite,2669698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
240,M-1810,item:268091,10827.126418,14400.0,14400.0,203550.0,finite,2655298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
241,M-1810,item:268091,10585.931406,14400.0,14400.0,203550.0,finite,2640898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
242,M-1430,item:268967,4059.493878,107800.0,107800.0,154000.0,finite,5489325.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
242,M-1810,item:268091,10337.365873,14400.0,14400.0,203550.0,finite,2626498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,5,1,1,14400.0,14400.0,14400.0,0.0
243,M-1810,item:268091,10087.326236,14400.0,14400.0,203550.0,finite,2612098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,6,1,1,14400.0,14400.0,14400.0,0.0
247,M-1810,item:268091,7520.032653,14400.0,14400.0,203550.0,finite,2597698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
249,M-1810,item:268091,7420.865306,14400.0,14400.0,203550.0,finite,2583298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
251,M-1810,item:268091,7321.697959,14400.0,14400.0,203550.0,finite,2568898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
252,M-1810,item:268091,8736.453877,14400.0,14400.0,203550.0,finite,2554498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
253,M-1810,item:268091,9139.07853,14400.0,14400.0,203550.0,finite,2540098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
255,M-1810,item:268091,7631.134694,14400.0,14400.0,203550.0,finite,2525698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
256,M-1810,item:268091,9277.035102,14400.0,14400.0,203550.0,finite,2511298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
257,M-1810,item:268091,9725.888653,14400.0,14400.0,203550.0,finite,2496898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,5,1,1,14400.0,14400.0,14400.0,0.0
258,M-1810,item:268091,9935.332832,14400.0,14400.0,203550.0,finite,2482498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,6,1,1,14400.0,14400.0,14400.0,0.0
