record_index,system,component,family,mass_kg,lca_use_class,lca_confidence,lca_match_level,lca_equipment_match,lca_material_match,raw_materials_status,path_id,path_type,readiness,max_severity,issue_codes,issue_count,component_all_path_count,component_primary_path_count,contains_assumption,contains_inactive_candidate,t4,t4_status,t3,t3_status,t2,t2_status,t1,t1_status,oem,oem_status,t4_t3_km,t3_t2_km,t2_t1_km,t1_oem_km,t4_t3_modes,t3_t2_modes,t2_t1_modes,t1_oem_modes,transport_model
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0044,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Alcoa,baseline_primary,Aluminium France,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,SUMPAR,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7057.7,492.0,531.7,83.8,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0045,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Alcoa,baseline_primary,Aluminium France,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Groupe Segnere / SEGNERE Ade,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7057.7,492.0,187.0,646.9,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0046,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Alcoa,baseline_primary,Aluminium France,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7057.7,492.0,117.1,499.6,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0047,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Alcoa,baseline_primary,Aluminium France,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Senior Aerospace Thailand,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7057.7,492.0,9881.2,9564.8,ship|truck,truck,internal,ship|truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0048,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Alcoa,baseline_primary,Aluminium France,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,L&P Aerospace,alternate,Safran Seats / Safran internal group,baseline_primary,7057.7,492.0,505.3,18.8,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0049,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Alcoa,baseline_primary,Aluminium France,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,JV Group,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7057.7,492.0,14.5,477.9,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0050,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Alcoa,baseline_primary,Aluminium France,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Groupe LAUAK,alternate,Safran Seats / Safran internal group,baseline_primary,7057.7,492.0,164.3,654.3,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0051,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation,3,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,ESPACE,baseline_primary,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,0.0,490.2,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0052,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Figeac Aero,alternate,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,213.0,469.5,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0053,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,ETS Gattefin,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,344.7,186.9,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0054,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,SUMPAR,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,531.7,83.8,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0055,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Groupe Segnere / SEGNERE Ade,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,187.0,646.9,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0056,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,117.1,499.6,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0057,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Senior Aerospace Thailand,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,9881.2,9564.8,ship|truck,truck,internal,ship|truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0058,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,L&P Aerospace,alternate,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,505.3,18.8,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0059,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,JV Group,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,14.5,477.9,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0060,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,5,150,1,True,True,Hindalco Industries,alternate,Constellium,alternate,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Groupe LAUAK,alternate,Safran Seats / Safran internal group,baseline_primary,7341.7,318.4,164.3,654.3,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0061,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation,2,150,1,True,True,Hindalco Industries,alternate,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,ESPACE,baseline_primary,Safran Seats / Safran internal group,baseline_primary,6569.5,1113.4,0.0,490.2,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0062,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Hindalco Industries,alternate,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Figeac Aero,alternate,Safran Seats / Safran internal group,baseline_primary,6569.5,1113.4,213.0,469.5,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0063,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Hindalco Industries,alternate,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,ETS Gattefin,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,6569.5,1113.4,344.7,186.9,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0064,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Hindalco Industries,alternate,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,SUMPAR,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,6569.5,1113.4,531.7,83.8,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0065,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Hindalco Industries,alternate,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Groupe Segnere / SEGNERE Ade,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,6569.5,1113.4,187.0,646.9,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0066,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Hindalco Industries,alternate,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,MGA Villeneuve St Lot,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,6569.5,1113.4,117.1,499.6,ship|truck,truck,internal,truck,lane_specific
1,Ens. Equipements latéraux,A5086 - Aluminium,aluminium,3.6360048,quantitative_ready,high,exact_equipment_material,ENSEMBLE EQUIPEMENTS LATERALES,a5086,provided,R001-P0067,secondary_candidate,secondary_candidate_needs_qualification,MEDIUM,baseline_node_is_assumption;inactive_alternate_requires_allocation;internal_process_t1_mismatch,4,150,1,True,True,Hindalco Industries,alternate,AMAG Austria Metall,baseline_primary,ESPACE - internal machining/forming process,baseline_primary_assumed_internalized_process,Senior Aerospace Thailand,alternate_requires_allocation_source,Safran Seats / Safran internal group,baseline_primary,6569.5,1113.4,9881.2,9564.8,ship|truck,truck,internal,ship|truck,lane_specific
